,ligand,receptor,
231,GHRH,GHRHR,
232,GHRL,GPR39,
233,GHRL,GHRHR,
234,GHRL,GHSR,
235,COL6A2,ITGA1,
236,COL6A2,ITGA2,
237,COL6A2,ITGA3,
238,COL6A2,ITGA9,
239,COL6A2,ITGA10,
240,COL6A2,ITGA11,
241,COL6A2,ITGAV,
242,COL6A2,CD44,
243,COL6A2,GP6,
244,COL6A2,ITGB1,
245,COL6A2,ITGB8,
246,COL6A2,SDC1,
247,COL6A3,ITGA1,
248,COL6A3,ITGA2,
249,COL6A3,ITGA3,
250,COL6A3,ITGA9,
251,COL6A3,ITGA10,
252,COL6A3,ITGA11,
253,COL6A3,ITGAV,
254,COL6A3,CD44,
255,COL6A3,GP6,
256,COL6A3,ITGB1,
257,COL6A3,ITGB8,
258,COL6A3,SDC1,
259,HDC,HRH1,
260,HDC,HRH2,
261,HDC,HRH3,
262,HDC,HRH4,
263,HLA-A,KIR3DL1,
264,HLA-B,KIR3DL2,
265,HLA-C,KIR2DL1,
266,HLA-C,KIR2DL3,
267,HLA-E,KLRC1,
268,HLA-E,KLRD1,
269,HLA-E,KLRC2,
270,ESAM,ESAM,
271,HLA-E,KLRK1,
272,HLA-F,KIR3DL1,
273,HLA-F,KIR3DL2,
274,HLA-F,KIR3DS1,
275,HLA-F,LILRB1,
276,HLA-F,LILRB2,
277,HLA-G,LILRB1,
278,HLA-G,LILRB2,
279,INS,INSR,
280,INSL3,RXFP2,
281,INSL5,RXFP4,
282,IGF2,IGF1R,
283,IGF2,IGF2R,
284,IGFL1,IGFLR1,
285,IGFL2,IGFLR1,
286,IGFL3,IGFLR1,
287,IL13,IL13RA2,
288,IL34,CSF1R,
289,INSL3,RXFP3,
290,CLEC2A,KLRF2,
291,CLEC2B,KLRB1,
292,LRRC4B,PTPRD,
293,LRRC4B,PTPRS,
294,LRRC4B,PTPRF,
295,INSL3,RXFP4,
296,LRFN4,PTPRD,
297,LRFN4,PTPRF,
298,LRFN4,PTPRS,
299,LRRTM2,NRXN1,
300,LRRTM2,NRXN2,
301,LRRTM2,NRXN3,
302,LRRTM3,NRXN1,
303,LRRTM3,NRXN2,
304,LRRTM3,NRXN3,
305,LRRTM4,NRXN1,
306,LRRTM4,NRXN2,
307,LRRTM4,NRXN3,
308,LRRTM4,PTPRS,
309,HLA-E,CD8A,
310,LTB,LTBR,
311,XCL1,XCR1,
312,XCL2,XCR1,
313,NECTIN2,TIGIT,
314,NECTIN3,PVR,
315,NECTIN3,TIGIT,
316,NLGN4X,NRXN2,
317,NLGN4Y,NRXN2,
318,NRG1,ITGB4,
319,NRG1,ITGA6,
320,NRG1,ITGB3,
321,NRG1,ERBB2,
322,NRG1,ITGAV,
323,NRG1,ERBB3,
324,NRG1,ERBB4,
325,NRG2,ERBB3,
326,NRG2,ERBB4,
327,NRG3,ERBB4,
328,NRG4,ERBB4,
329,NLGN1,NRXN1,
330,NLGN1,NRXN2,
331,NLGN1,NRXN3,
332,NLGN2,NRXN1,
