,ligand,receptor,
988,WNT7B,FZD10,
989,WNT7B,FZD2,
990,WNT7B,FZD3,
991,WNT7B,FZD4,
992,WNT7B,FZD5,
993,WNT7B,FZD6,
994,WNT7B,FZD7,
995,WNT7B,FZD8,
996,WNT7B,FZD9,
997,WNT8A,FZD1,
998,WNT8A,FZD10,
999,WNT8A,FZD2,
1000,WNT8A,FZD3,
1001,WNT8A,FZD4,
1002,WNT8A,FZD5,
1003,WNT8A,FZD6,
1004,WNT8A,FZD7,
1005,WNT8A,FZD8,
1006,WNT8A,FZD9,
1007,WNT8B,FZD1,
1008,WNT8B,FZD10,
1009,WNT8B,FZD2,
1010,WNT8B,FZD3,
1011,WNT8B,FZD4,
1012,WNT8B,FZD5,
1013,WNT8B,FZD6,
1014,WNT8B,FZD7,
1015,WNT8B,FZD8,
1016,WNT8B,FZD9,
1017,WNT9A,FZD1,
1018,WNT9A,FZD10,
1019,WNT9A,FZD2,
1020,WNT9A,FZD3,
1021,WNT9A,FZD4,
1022,WNT9A,FZD5,
1023,WNT9A,FZD6,
1024,WNT9A,FZD7,
1025,WNT9A,FZD8,
1026,WNT9A,FZD9,
1027,WNT9B,FZD1,
1028,WNT9B,FZD10,
1029,WNT9B,FZD2,
1030,WNT9B,FZD3,
1031,WNT9B,FZD4,
1032,WNT9B,FZD5,
1033,WNT9B,FZD6,
1034,WNT9B,FZD7,
1035,WNT9B,FZD8,
1036,WNT9B,FZD9,
1037,DKK1,KREMEN1,
1038,DKK1,KREMEN2,
1039,DKK2,KREMEN2,
1040,INHA,ACVR1,
1041,INHA,ACVR1B,
1042,INHA,ACVR1C,
1043,ARTN,GFRA1,
1044,ARTN,GFRA3,
1045,PSPN,GFRA4,
1046,ARTN,RET,
1047,PSPN,RET,
1048,ADIPOQ,ADIPOR1,
1049,ADIPOQ,ADIPOR2,
1050,CD40LG,CD40,
1051,CD40LG,ITGA2B,
1052,CD40LG,ITGA5,
1053,CD40LG,ITGB3,
1054,CD40LG,ITGB1,
1055,CD40LG,ITGB2,
1056,CD40LG,ITGAM,
1057,CLCF1,CNTFR,
1058,CNTF,CNTFR,
1059,CSPG4,ITGA3,
1060,CSPG4,ITGB1,
1061,CLCF1,LIFR,
1062,CNTF,LIFR,
1063,FBN1,ITGA5,
1064,GDNF,GFRA1,
1065,GP1BA,ITGAM,
1066,FBN1,ITGB1,
1067,GDNF,RET,
1068,GP1BA,ITGB2,
1069,GPHA2,TSHR,
1070,LIF,IL6ST,
1071,NDP,FZD4,
1072,LIF,LIFR,
1073,MICA,KLRK1,
1074,MICB,KLRK1,
1075,TSLP,CRLF2,
1076,TSLP,IL7R,
1077,VCAM1,ITGA4,
1078,VCAM1,ITGA9,
1079,VCAM1,ITGAD,
1080,VCAM1,ITGB1,
1081,VCAM1,ITGB7,
1082,VCAM1,ITGB2,
1083,VTN,ITGA2B,
1084,VTN,ITGAV,
1085,VTN,ITGB3,
1086,VTN,ITGB1,
1087,VTN,ITGA8,
1088,VTN,ITGB8,
1089,VTN,ITGB5,
1090,ADM,CALCRL,
1091,ADM,CALCR,
1092,ADM,RAMP3,
1093,ADM,GPER1,
1094,ADM2,CALCRL,
1095,ADM2,CALCR,
1096,ADM2,RAMP1,
1097,ADM2,RAMP2,
1098,ADM2,RAMP3,
1099,ADM2,GPER1,
1100,BMP2,BMPR2,
1101,BMP2,ACVR2A,
1102,BMP2,ACVR2B,
1103,BMP2,BMPR1A,
1104,BMP2,BMPR1B,
1105,BMP4,BMPR2,
1107,BMP4,ACVR2A,
1108,BMP4,ACVR2B,
1109,BMP4,BMPR1A,
1110,BMP4,BMPR1B,
1111,BMP5,BMPR2,
1113,BMP5,ACVR1,
1114,BMP5,ACVR2A,
1115,BMP5,ACVR2B,
1116,BMP5,BMPR1A,
1117,BMP5,BMPR1B,
1118,BMP6,ACVR1,
1119,BMP6,ACVR2A,
1120,BMP6,ACVR2B,
1121,BMP6,BMPR1A,
1122,BMP6,BMPR1B,
1123,BMP6,BMPR2,
1124,BMP7,BMPR2,
1125,BMP7,ACVR1,
1126,BMP7,ACVR2A,
1127,BMP7,ACVR2B,
1128,BMP7,BMPR1A,
1129,BMP7,BMPR1B,
1130,BMP8A,ACVR1,
1131,BMP8A,ACVR2A,
1132,BMP8A,ACVR2B,
1133,BMP8A,BMPR1A,
1134,BMP8A,BMPR1B,
1135,BMP8A,BMPR2,
1136,CALCA,CALCR,
1137,CALCA,RAMP2,
1138,CALCA,CALCRL,
1139,CALCA,RAMP1,
1140,CALCB,CALCR,
1141,CALCB,RAMP2,
1142,CALCB,CALCRL,
1143,CALCB,RAMP1,
1144,AGT,MAS1,
1145,ALB,FCGRT,
1146,ALB,B2M,
1147,AMELX,LAMP1,
1148,AMELY,LAMP1,
1149,INHB,ACVR2B,
1150,ANGPT1,ITGA5,
1152,EBI3,IL27RA,
1153,IL10,IL10RA,
1154,IL11,IL11RA,
1155,IL12A,IL12RB1,
1156,IL12B,IL12RB1,
1157,IL13,IL13RA1,
1158,IL15,IL15RA,
1159,IL17A,IL17RA,
1160,IL12A,IL12RB2,
1161,IL27,IL27RA,
1162,IL23A,IL12RB1,
1163,IL17F,IL17RA,
1164,EBI3,IL6ST,
1165,IL10,IL10RB,
1166,IL11,IL6ST,
1167,IL12B,IL23R,
1168,IL13,IL4R,
1169,IL15,IL2RB,
1170,IL17A,IL17RC,
1171,IL27,IL6ST,
1172,IL12B,IL12RB2,
1173,IL23A,IL23R,
1174,IL17F,IL17RC,
1175,IL17C,IL17RA,
1176,IL18,IL18R1,
1177,IL19,IL20RA,
1178,IL1A,IL1R1,
1179,IL1A,IL1R2,
1180,IL1B,IL1R1,
1181,IL1B,IL1R2,
1182,IL1F10,IL1RAP,
1183,IL1RN,IL1R1,
1184,IL1RN,IL1R2,
1185,IL2,IL2RA,
1186,IL2,IL2RB,
1187,IL20,IL20RA,
1188,IL20,IL20RB,
1189,IL21,IL21R,
1190,IL22,IL10RB,
1191,IL24,IL20RA,
1192,IL24,IL20RB,
1193,IL25,IL17RA,
1194,IL26,IL10RB,
1195,IL3,CSF2RB,
1196,IL33,IL1RAP,
1197,IL36A,IL1RAP,
1198,IL36B,IL1RAP,
1199,IL36G,IL1RAP,
1200,IL36RN,IL1RAP,
1201,IL37,IL18R1,
1202,IL4,IL13RA1,
1203,IL4,IL2RG,
1204,IL5,CSF2RB,
1205,IL6,IL6R,
1206,IL7,IL2RG,
1207,IL9,IL2RG,
1208,RAET1F,KLRK1,
1209,ULBP1,HCST,
1210,IL17C,IL17RE,
1211,IL18,IL18RAP,
1212,IL19,IL20RB,
1213,IL1A,IL1RAP,
1214,IL1B,IL1RAP,
1215,IL1F10,IL1RL2,
1216,IL2,IL2RG,
1217,IL20,IL22RA1,
1218,IL21,IL2RG,
1219,IL22,IL22RA1,
1220,IL24,IL22RA1,
1221,IL25,IL17RB,
1222,IL26,IL20RA,
1223,IL3,IL3RA,
1224,IL33,IL1RL1,
1225,IL36A,IL1RL2,
1226,IL36B,IL1RL2,
1227,IL36G,IL1RL2,
1228,IL36RN,IL1RL2,
1229,IL4,IL4R,
1230,IL5,IL5RA,
1231,IL6,IL6ST,
1232,IL7,IL7R,
1233,IL9,IL9R,
1234,RAET1E,HCST,
1235,RAET1E,KLRK1,
1236,RAET1G,HCST,
1237,RAET1G,KLRK1,
1238,RAET1L,HCST,
1239,RAET1L,KLRK1,
1240,ULBP1,KLRK1,
1241,ULBP2,HCST,
1242,ULBP2,KLRK1,
1243,ULBP3,HCST,
1244,ULBP3,KLRK1,
1245,TPH1,HTR1A,
1246,TPH1,HTR1B,
1247,TPH1,HTR1D,
1248,TPH1,HTR1E,
1249,TPH1,HTR1F,
1250,TPH1,HTR2A,
1251,TPH1,HTR2B,
1252,TPH1,HTR2C,
1253,TPH1,HTR4,
1254,TPH1,HTR5A,
1255,TPH1,HTR6,
1256,TPH1,HTR7,
1257,WNT1,LRP5,
1258,WNT1,LRP6,
1259,WNT1,RYK,
1260,WNT10A,LRP5,
1261,WNT10A,LRP6,
1262,WNT16,LRP5,
1263,WNT16,LRP6,
1264,WNT2,LRP5,
1265,WNT2,LRP6,
1266,WNT2B,LRP5,
1267,WNT2B,LRP6,
1268,WNT3,LRP5,
1269,WNT3,LRP6,
1270,WNT3,RYK,
1271,WNT3A,LRP5,
1272,WNT3A,LRP6,
1273,WNT3A,RYK,
1274,WNT4,LRP5,
1275,WNT4,LRP6,
1276,WNT5A,LRP5,
1277,WNT5A,RYK,
1278,WNT6,LRP5,
1279,WNT6,LRP6,
1280,WNT7A,LRP5,
1281,WNT7A,LRP6,
1282,WNT7B,LRP5,
1283,WNT7B,LRP6,
1284,WNT8A,LRP5,
1285,WNT8A,LRP6,
1286,WNT8B,LRP5,
1287,WNT8B,LRP6,
1288,WNT9A,LRP5,
1289,WNT9A,LRP6,
1290,WNT9B,LRP5,
1291,WNT9B,LRP6,
1292,INHA,ACVR2A,
1293,INHA,ACVR2B,
1294,A2M,LRP1,
1295,AANAT,MTNR1A,
1296,AANAT,MTNR1B,
1297,ACE,AGTR2,
1298,ACE,BDKRB2,
1324,AGRN,PTPRS,
1325,AGRN,ATP1A3,
1326,COL2A1,ITGA1,
1327,COL2A1,ITGA2,
1328,COL2A1,ITGA3,
1329,COL2A1,ITGA9,
1330,COL2A1,ITGA10,
1331,COL2A1,ITGA11,
1332,COL2A1,ITGAV,
1333,COL2A1,ITGB8,
1334,COL2A1,CD44,
1335,COL2A1,GP6,
1336,COL2A1,ITGB1,
1337,ANGPTL3,ITGAV,
1338,ANGPTL3,ITGB3,
1339,COL2A1,DDR1,
1340,APOD,LEPR,
1342,APOE,TREM2,
1347,APOE,SORL1,
1348,APOE,VLDLR,
1349,APP,TNFRSF21,
1350,APP,FPR2,
1351,APP,PLXNA4,
1353,APP,NCSTN,
1354,APP,SORL1,
1355,AREGB,EGFR,
1356,ARF1,CHRM3,
1357,ARF1,INSR,
1358,ARF1,PLD2,
1359,ASIP,MC1R,
1360,ASIP,ATRN,
1361,ASIP,F11R,
1362,ASIP,MC2R,
1363,ASIP,MC3R,
1364,ASIP,MC4R,
1365,ASIP,MC5R,
1366,ASIP,MGRN1,
1367,AZGP1,ITGAV,
1368,B2M,IL6ST,
1369,CD1B,IL6ST,
1370,BGN,TLR2,
1371,BGN,TLR4,
1372,BMP10,ACVR2A,
1373,BMP10,ACVRL1,
1374,BMP10,BMPR2,
1375,BMP15,BMPR1B,
1376,BMP15,BMPR2,
1377,BMP15,ACVR1B,
1378,HLA-F,CD8A,
1379,BMP3,ACVR2B,
1381,BST1,CAV1,
1382,BTC,ERBB2,
1383,MMRN2,CD93,
1384,C1QA,CR1,
1385,C1QA,CSPG4,
1386,C1QB,LRP1,
1387,C1QTNF1,AVPR2,
1388,C1QTNF5,MFRP,
1389,C4A,C5AR2,
1390,C4A,CR2,
1391,C4A,C3AR1,
1392,C4BPA,BMPR2,
1393,C4BPA,CD40,
1394,C4BPA,LRP1,
1395,C4B,CD46,
1396,C4B,CR1,
1397,C5orf55,TRAF2,
1398,CALR,ITGA2B,
1399,CALR,ITGA3,
1400,CALR,ITGAV,
1401,CALR,LRP1,
1402,CALR,MTNR1A,
1403,CALR,SCARF1,
1404,CALR,TSHR,
1405,CCL27,CCR3,
1406,CCL11,CCR2,
1407,CCL11,CCR5,
1408,CCL13,ACKR4,
1409,CCL13,CCR1,
1410,CCL13,CCR5,
1411,CCL14,CCR5,
1412,CCL16,CCR5,
1413,CCL17,CCR8,
1414,CCL18,C14orf1,
1415,ANGPTL1,ITGA1,
1416,ANGPTL1,ITGB1,
1417,CCL21,ACKR2,
1418,CCL21,CXCR3,
1419,CCL24,CCR2,
1420,CCL25,ACKR2,
1421,CCL25,CCR10,
1422,CCL27,ACKR2,
1423,CCL5,DARC,
1424,HLA-F,CD8B,
1425,PTPRM,PTPRM,
1426,CCL28,CCR3,
1427,CCL2,ACKR4,
1428,CCL2,CCR10,
1429,CCL2,CCR3,
1431,CCL2,CCR5,
1432,CCL3L1,CCR5,
1433,CCL3L3,ACKR2,
1434,CCL3L3,CCR5,
1435,CCL3,CCR4,
1436,CCL4,CCR1,
1437,CCL4,CCR3,
1438,CCL4,CCR8,
1439,CCL7,CCR10,
1440,CCL7,CXCR3,
1441,CCL7,DARC,
1442,CCL8,ACKR4,
1443,CCL8,DARC,
1444,CD55,CD97,
1445,CD55,CR1,
1446,CDH1,ITGAE,
1447,CDH1,ITGB7,
1448,HLA-F,CD8B2,
1449,CEL,CXCR4,
1450,CFH,ITGAM,
1451,CGB,LHCGR,
1452,CGN,F11R,
1453,CHAD,ITGA2,
1454,CHAD,ITGB1,
1455,CLCF1,CRLF1,
1456,CNTN2,CNTNAP2,
1457,CNTN2,NRCAM,
1458,CNTN4,PTPRG,
1459,COL11A1,DDR1,
1460,COL18A1,GPC1,
1461,COL18A1,GPC4,
1462,COL1A1,ITGAV,
1463,COL1A1,CD44,
1464,COL1A1,ITGA1,
1465,COL1A1,DDR1,
1466,COL1A1,ITGA3,
1467,COL1A1,ITGA11,
1468,COL1A1,ITGA2,
1469,COL1A1,ITGA9,
1470,COL1A1,ITGB1,
1471,COL1A1,ITGA10,
1472,COL1A2,CD44,
1473,COL1A2,ITGA1,
1474,COL1A2,ITGA2,
1475,COL1A2,ITGA3,
1476,COL1A2,ITGB1,
1477,COL1A2,ITGB3,
1478,COL3A1,DDR1,
1479,COL3A1,DDR2,
1480,HLA-E,CD8A,
1481,HLA-E,CD8B,
1482,HLA-E,CD8B2,
1483,SELL,MADCAM1,
1484,EGF,ERBB2,
1485,EGF,ERBB3,
1486,EGF,ERBB4,
1487,COL4A5,ITGA1,
1488,COL4A5,ITGA2,
1489,COL4A5,ITGA3,
1490,COL4A5,ITGA9,
1491,COL4A5,ITGA10,
1492,COL4A5,ITGA11,
1493,COL4A5,ITGAV,
1494,COL4A5,CD44,
1495,COL4A5,GP6,
1496,COL4A5,ITGB1,
1497,COL4A5,ITGB8,
1498,COL8A1,ITGA1,
1499,COL8A1,ITGA2,
1500,CSPG4,ITGA3,
1501,CSPG4,ITGB1,
1502,CPAMD8,SCTR,
1503,DLK2,NOTCH1,
1504,EDA,EDA2R,
1505,EDA,EDAR,
1506,EDIL3,ITGAV,
1507,CXCL3,CXCR1,
1508,CXCL5,DARC,
1509,LRFN5,PTPRD,
1510,LRFN5,PTPRF,
1511,LRFN5,PTPRS,
1512,COLQ,MUSK,
1513,CSH1,PRLR,
1514,CSH2,PRLR,
1515,CSHL1,PRLR,
1516,CTF1,IL6ST,
1517,CTF1,LIFR,
1518,CTGF,ERBB4,
1519,CTGF,ITGA5,
1520,CTGF,ITGAM,
1521,CTGF,ITGB2,
1522,CTGF,NTRK1,
1523,CTHRC1,FZD5,
1524,CTHRC1,FZD6,
1525,CUBN,LRP2,
1526,CXCL10,CCR3,
1527,CXCL12,ACKR3,
1530,CXCL13,CCR10,
1531,CXCL13,CXCR3,
1532,CXCL2,CXCR1,
1533,DCN,EGFR,
1534,DCN,ERBB4,
1535,DCN,MET,
1536,DEFB103A,CCR6,
1537,DEFB103B,CCR2,
1538,DEFB103B,CCR6,
1539,DEFB1,CCR6,
1540,DEFB4A,CCR6,
1541,DEFB4A,TLR4,
1542,DEFB4B,CCR6,
1543,EFEMP1,EGFR,
1544,EFEMP2,AQP1,
1545,EFEMP2,CATSPER1,
1546,EFEMP2,LINGO1,
1547,EFEMP2,PLSCR4,
1548,SLURP2,CHRNB1,
1549,SLURP2,CHRNB2,
1550,SLURP2,CHRNB3,
1551,SLURP2,CHRNB4,
1552,SLURP2,CHRNA1,
1553,SLURP2,CHRNA2,
1554,SLURP2,CHRNA3,
1555,SLURP2,CHRNA4,
1556,SLURP2,CHRNA5,
1557,SLURP2,CHRNA6,
1558,SLURP2,CHRNA7,
1559,SLURP2,CHRNA9,
1560,SLURP2,CHRNA10,
1561,SLURP2,CHRND,
1562,SLURP2,CHRNE,
1563,SLURP2,CHRNG,
1564,COL1A1,ITGB8,
1565,COL1A2,ITGA9,
1566,COL1A2,ITGA10,
1567,COL1A2,ITGA11,
1568,COL1A2,ITGAV,
1569,COL1A2,ITGB8,
1570,COL1A2,GP6,
1571,F10,F3,F10-ITGAM+ITGB2
1573,F13A1,ITGA4,
1574,F13A1,ITGA9,
1575,F13A1,ITGB1,
1576,F2,F2RL1,
1582,FAT4,DCHS1,
1583,FBLN1,ITGB1,
1584,FBLN2,ITGB3,
1585,FBN1,ITGAV,
1586,FBN1,ITGB3,
1587,FCN2,LRP1,
1588,FGA,CDH5,
1589,FGA,ITGA5,
1590,FGA,ITGAV,
1591,FGA,ITGB1,
1592,FGB,ITGA5,
1593,FGB,ITGAV,
1594,FGB,ITGB1,
1595,MAG,MAG,
1596,FGF16,FGFR2,
1597,FGF16,FGFR3,
1598,FGF16,FGFR4,
1599,FGF17,FGFR3,
1600,FGF17,FGFR1,
1601,FGF17,FGFR2,
1602,FGF17,FGFR4,
1603,FGF18,FGFR1,
1604,FGF18,FGFR2,
1605,FGF18,FGFR3,
1606,FGF18,FGFR4,
1607,FGF19,FGFR4,
1608,FGF19,KLB,
1609,FGF19,FGFR1,
1610,FGF19,FGFR2,
1611,FGF19,FGFR3,
1612,COL4A1,ITGA1,
1613,COL4A1,ITGA2,
1614,COL4A1,ITGA3,
1615,COL4A1,ITGA9,
1616,COL4A1,ITGA10,
1617,COL4A1,ITGA11,
1618,COL4A1,ITGAV,
1619,COL4A1,ITGB1,
1620,COL4A1,ITGB8,
1621,COL4A1,CD44,
1622,COL4A1,GP6,
1623,COL4A1,SDC1,
1624,FGF3,FGFR2,
1625,FGF3,FGFR1,
1626,FGF4,FGFR1,
1627,FGF4,FGFR2,
1628,FGF4,FGFR3,
1629,FGF4,FGFR4,
1630,FGF5,FGFR1,
1631,FGF5,FGFR2,
1632,FGF5,FGFR3,
1633,FGF5,FGFR4,
1634,FGF6,FGFR1,
1635,FGF6,FGFR2,
1636,FGF6,FGFR3,
1637,FGF6,FGFR4,
1638,FGF7,FGFR1,
1639,FGF7,FGFR3,
1640,FGF7,FGFR4,
1641,FGF8,FGFR1,
1642,FGF8,FGFR2,
1643,FGF8,FGFR4,
1644,FGF9,FGFR1,
1645,FGF9,FGFR2,
1646,FGF9,FGFR4,
1647,FGG,ITGA5,
1648,FGG,ITGAV,
1649,FGG,ITGB1,
1650,FIGF,FLT4,
1651,FIGF,ITGA9,
1652,FIGF,KDR,
1653,FIGF,NRP2,
1654,FN1,SDC4,
1655,FN1,SDC1,
1656,FN1,CD44,
1657,FN1,ITGB1,
1658,FN1,ITGA2B,
1659,FN1,ITGA3,
1660,FN1,ITGA4,
1661,FN1,ITGA5,
1662,FN1,ITGA8,
1663,FN1,ITGAV,
1664,FN1,ITGB3,
1665,FN1,ITGB6,
1666,FN1,ITGB8,
1667,FN1,ITGB7,
1668,GDF9,ACVR1B,
1669,GDF9,BMPR2,
1670,GDF9,TGFBR1,
1671,GDNF,GFRA2,
1672,COL4A2,ITGA1,
1673,COL4A2,ITGA2,
1674,COL4A2,ITGA3,
1675,COL4A2,ITGA9,
1676,COL4A2,ITGA10,
1677,COL4A2,ITGA11,
1678,COL4A2,ITGAV,
1679,COL4A2,ITGB8,
1680,COL4A2,ITGB1,
1681,COL4A2,CD44,
1682,COL4A2,GP6,
1683,COL4A2,SDC1,
1684,COL4A2,SDC4,
1685,GHRH,VIPR1,
1686,GIP,DPP4,
1687,GNB3,TGFBR1,
1688,GPC3,CD81,
1689,GPC3,IGF1R,
1690,GPI,AMFR,
1691,GSTP1,TRAF2,
1692,GUCA2A,GUCY2C,
1693,GUCA2B,GUCY2C,
1694,GUCA2B,GUCY2D,
1695,GZMB,CHRM3,
1696,GZMB,IGF2R,
1698,HLA-G,CD8B2,
1699,HLA-B,CD8B,
1700,HGF,SDC1,
1701,HGF,SDC2,
1702,HGF,ST14,
1703,HLA-A,CD8A,
1704,HLA-A,CD8B,
1705,HLA-A,KIR3DL2,
1706,HLA-A,LILRB1,
1707,HLA-A,LILRB2,
1708,HLA-B,CD8A,
1709,HLA-B,KIR3DL1,
1710,HLA-B,KLRD1,
1711,HLA-B,LILRB1,
1712,HLA-B,LILRB2,
1713,HLA-C,KIR2DS4,
1714,HLA-C,CD8A,
1715,HLA-C,LILRB1,
1716,HLA-C,LILRB2,
1717,HLA-G,KIR2DL4,
1718,HLA-G,CD8A,
1719,HLA-G,CD8B,
1720,HMGB1,SDC1,
1721,HMGB1,THBD,
1722,HP,ITGAM,
1723,HP,ITGB2,
1724,HRAS,AGTR1,
1725,HRAS,CAV1,
1726,HRAS,GRIN2D,
1727,HRAS,INSR,
1728,HRAS,TLR2,
1729,HRAS,TLR9,
1730,HRG,FCGR1A,
1731,HSP90AA1,CFTR,
1732,HSP90AA1,EGFR,
1733,HSP90AA1,FGFR3,
1734,HSPG2,COL13A1,
1735,HSPG2,ITGA2,
1736,HSPG2,ITGB1,
1737,ICAM2,ITGAM,
1738,ICAM4,ITGA2B,
1739,ICAM4,ITGA4,
1740,ICAM4,ITGAM,
1741,ICAM4,ITGAV,
1742,ICAM4,ITGB1,
1743,ICAM4,ITGB3,
1744,ICAM4,RHAG,
1745,ICAM5,ITGAL,
1746,ICAM5,ITGB2,
1747,IFNA13,IFNAR1,
1748,IFNA13,IFNAR2,
1749,IGFBP4,FZD8,
1750,IGFBP4,LRP6,
1751,HLA-A,CD8B2,
1752,IL12A,CD28,
1753,IL13,IL2RG,
1754,IL15,IL2RA,
1755,IL15,IL2RG,
1756,IL16,CD4,
1757,IL16,GRIN2C,
1758,IL16,GRIN2D,
1759,IL16,KCND1,
1760,IL16,KCND2,
1761,IL16,KCNJ10,
1762,IL16,KCNJ15,
1763,IL16,KCNJ4,
1764,IL17B,IL17RB,
1765,IL18,IL1RAPL1,
1766,IL18,IL1RL2,
1767,IL1B,ADRB2,
1768,IL1F10,IL1R1,
1769,IL22,IL10RA,
1770,IL22,IL22RA2,
1771,IL2,CD53,
1772,IL2,NGFR,
1773,IL31,IL31RA,
1774,IL31,OSMR,
1775,IL4,CD53,
1776,IL4,IL13RA2,
1777,IL8,CXCR1,
1778,IL8,CXCR2,
1779,IL8,DARC,
1780,INHA,TGFBR3,
1781,INHBA,BAMBI,
1782,INHBA,TGFBR3,
1783,INHBC,ACVR1B,
1784,INSL5,RXFP3,
1785,HLA-C,CD8B,
1786,HLA-C,CD8B2,
1787,ITGB3BP,ITGB3,
1788,ITGB3BP,ITGB5,
1789,KAL1,FGFR1,
1790,PRSS2,F2R,
1791,PRSS2,F2RL2,
1792,PRSS2,F2RL3,
1793,PRSS2,PARD3,
1794,KRTAP4-12,AQP1,
1795,KRTAP4-12,CATSPER1,
1796,KRTAP4-12,CLDN2,
1797,KRTAP4-12,CNTFR,
1798,KRTAP4-12,LINGO1,
1799,KRTAP4-12,PDGFRB,
1800,KRTAP4-12,PLSCR4,
1801,LTa1b2,LTBR,
1802,LACRT,SDC1,
1803,JAM2,F11R,
1804,PRSS1,F2RL1,
1805,NLGN4X,NRXN1,
1806,NLGN4Y,NRXN1,
1807,NRXN1,GRID2,
1808,NRXN1,NLGN2,
1809,LAMA5,BCAM,
1810,THBS1,SDC1,
1811,THBS1,SDC4,
1812,THBS1,CD47,
1813,THBS1,CD36,
1814,THBS1,ITGA2B,
1815,THBS1,ITGA3,
1816,THBS1,ITGAV,
1817,THBS1,ITGB3,
1818,THBS1,ITGB1,
1819,TNC,ITGA4,
1820,TNC,ITGA8,
1821,TNC,ITGA9,
1822,TNC,ITGAV,
1823,TNC,ITGB1,
1824,TNC,ITGB3,
1825,TNC,ITGB6,
1826,TNC,ITGA2B,
1827,TNC,SDC1,
1828,LCN1,LMBR1L,
1829,LCN2,LRP2,
1830,LEFTY2,TDGF1,
1831,LGALS3,MERTK,
1832,LGALS3BP,VANGL1,
1833,LGALS3BP,ITGB1,
1834,LIN7C,ABCA1,
1835,LIN7C,HTR2C,
1836,LIPC,LRP1,
1837,LIPH,LPAR1,
1838,LIPH,LPAR2,
1839,LIPH,LPAR4,
1840,LPA,LRP2,
1841,LPL,GPIHBP1,
1842,LPL,LRP1,
1843,LPL,LRP2,
1844,LPL,SDC1,
1845,LPL,VLDLR,
1847,LRPAP1,LDLR,
1848,LRPAP1,LRP1,
1849,LRPAP1,LRP2,
1850,LRPAP1,LRP8,
1851,LRPAP1,SORL1,
1852,LRPAP1,VLDLR,
1853,LTBP1,ITGB5,
1854,LTBP3,ITGB5,
1855,LTF,LRP1,
1856,LTF,LRP11,
1857,LY86,CD180,
1858,MADCAM1,ITGA4,
1859,MADCAM1,ITGB7,
1860,MATN1,ITGA1,
1861,MATN1,ITGB1,
1862,MBL2,CALCR,
1863,MEPE,PHEX,
1864,MFGE8,ITGAV,
1865,MFGE8,ITGB3,
1866,MFGE8,PDGFRB,
1867,MFNG,NOTCH1,
1868,MFNG,NOTCH2,
1869,MIA,CDH7,
1870,MLLT4,EPHA7,
1871,MLLT4,EPHB2,
1872,MLLT4,EPHB3,
1873,MLLT4,EPHB6,
1874,MLLT4,F11R,
1875,MLLT4,NRXN2,
1876,HLA-DPB1,CD4,
1877,MLLT4,PVRL1,
1878,MLLT4,PVRL2,
1879,MLLT4,PVRL3,
1880,MLLT4,PVRL4,
1881,MMP1,ITGA2,
1882,MMP7,ERBB4,
1883,MUC2,AGR2,
1884,MUC7,SELL,
1885,MYOC,FZD1,
1886,MYOC,FZD10,
1887,MYOC,FZD3,
1888,MYOC,FZD4,
1889,MYOC,FZD7,
1890,NAMPT,INSR,
1891,F11R,JAM3,
1892,NDP,LGR4,
1893,SLURP1,CHRNB1,
1894,SLURP1,CHRNB2,
1895,SLURP1,CHRNB3,
1896,SLURP1,CHRNB4,
1897,NOV,NOTCH1,
1898,NPNT,ITGA8,
1899,NPNT,ITGB1,
1900,NPPA,NPR3,
1901,NPPB,NPR1,
1902,NPPB,NPR2,
1903,NPPB,NPR3,
1904,NPPC,NPR2,
1905,NPPC,NPR3,
1906,NPVF,NPFFR1,
1907,NPVF,NPFFR2,
1908,SLURP1,CHRND,
1909,SLURP1,CHRNE,
1910,SLURP1,CHRNG,
1911,NTN1,ADORA2B,
1912,NTN1,DSCAM,
1913,NTN1,DCC,
1914,NTN1,UNC5A,
1915,NTN1,UNC5B,
1916,NTN1,UNC5C,
1917,NTN3,CDON,
1918,NTN3,NEO1,
1919,NTN4,NTRK2,
1920,NTN4,UNC5B,
1921,NTN4,UNC5D,
1922,NTN4,DCC,
1923,NTN4,UNC5A,
1924,HLA-DOA,CD4,
1925,LRRC4,NTNG2,
1926,HLA-DQA1,CD4,
1927,OBP2A,OR1G1,
1928,OLFM2,ROBO2,
1929,OMG,LINGO1,
1930,OMG,RTN4R,
1931,HLA-DMA,CD4,
1932,OSTN,NPR3,
1933,PCSK9,VLDLR,
1934,PDAP1,PDGFRB,
1935,HLA-DMB,CD4,
1936,HLA-DQA2,CD4,
1937,PLG,F2RL3,
1938,PLG,F2RL2,
1939,PF4,LDLR,
1940,PF4,PROCR,
1941,PF4,SDC2,
1942,PF4,THBD,
1943,PIGF,FLT1,
1944,PIP,CD4,
1945,PLA2G10,PLA2R1,
1946,PLG,F2R,
1947,PLG,F2RL1,
1948,GZMA,F2R,
1949,GZMA,F2RL1,
1950,GZMA,F2RL2,
1951,PLG,PLGRKT,
1952,PLTP,ABCA1,
1953,PODXL,SELL,
1954,PON2,HTR2A,
1955,PRND,RPSA,
1956,PROC,THBD,
1957,PROS1,AXL,
1958,PROS1,TYRO3,
1959,PRSS23,TMEM222,
1960,SLURP1,CHRNA5,
1961,SLURP1,CHRNA1,
1962,SLURP1,CHRNA6,
1963,PTDSS1,JMJD6,
1964,PTDSS1,SCARB1,
1965,PTGS2,PTGDR2,
